Epoch	Epochs	Train Loss	Val Loss	Val IoU	Val DICE	Dur	Dur/Epoch
27		100	0.34605822	0.39601511	0.47032158	0.63975335	58.745474	2.2594
28		100	0.34145287	0.38613242	0.4748376	0.64391849	60.94291	2.2571
29		100	0.337082	0.37725312	0.48041589	0.64902828	62.891022	2.2461
30		100	0.3323507	0.36918569	0.48011889	0.64875719	65.080076	2.2441
31		100	0.32725796	0.36193389	0.47769093	0.646537	67.285922	2.2429
32		100	0.32296941	0.35576496	0.47510545	0.64416473	69.537216	2.2431
33		100	0.31846482	0.35027164	0.47650754	0.64545222	71.526368	2.2352
34		100	0.31410882	0.34592426	0.48131356	0.64984696	73.482261	2.2267
35		100	0.31083488	0.34186482	0.48461735	0.65285153	75.593926	2.2234
36		100	0.30615193	0.33862078	0.48879366	0.65663049	77.550184	2.2157
37		100	0.303087	0.33567888	0.49596116	0.66306689	79.597332	2.211
38		100	0.29910922	0.3320277	0.50133276	0.66785029	81.940095	2.2146
39		100	0.29562116	0.32816908	0.50585198	0.67184821	83.984907	2.2101
40		100	0.29231033	0.32440999	0.50734116	0.67316036	85.968422	2.2043
41		100	0.289148	0.32030287	0.50794688	0.67369333	87.930895	2.1983
42		100	0.28555161	0.31613398	0.50672273	0.67261576	90.229293	2.2007
43		100	0.28231555	0.31248352	0.50711234	0.67295892	92.531516	2.2031
44		100	0.28006926	0.30902037	0.50352566	0.66979323	94.608062	2.2002
45		100	0.27666774	0.30545956	0.50307514	0.66939453	96.628782	2.1961
46		100	0.27446473	0.30250871	0.5037557	0.66999673	98.770297	2.1949
47		100	0.27188024	0.29975826	0.50313789	0.66945008	101.009183	2.1959
48		100	0.26880699	0.29737592	0.50237988	0.66877877	103.092615	2.1935
49		100	0.26555023	0.29530919	0.5024688	0.66885755	105.26429	2.193
50		100	0.2630392	0.2935611	0.50561597	0.67164002	107.388722	2.1916
51		100	0.26084271	0.2918596	0.50982582	0.67534388	109.583865	2.1917
52		100	0.25782177	0.28983745	0.51379295	0.67881536	111.683917	2.1899
53		100	0.25563785	0.28742555	0.51705509	0.68165632	113.991653	2.1921
54		100	0.25301397	0.28499579	0.5178228	0.68232313	116.183213	2.1921
55		100	0.25075376	0.28227347	0.51938679	0.68367949	118.265002	2.1901
56		100	0.24867055	0.27977946	0.5171562	0.68174418	120.591533	2.1926
57		100	0.24619949	0.27722651	0.51403635	0.67902775	122.65914	2.1903
58		100	0.24373257	0.27465844	0.5102786	0.67574102	124.869939	2.1907
59		100	0.24186252	0.27202308	0.50724769	0.67307808	126.988122	2.1895
60		100	0.23990983	0.26943076	0.50425956	0.67044222	129.123904	2.1885
61		100	0.23737463	0.26682484	0.50535633	0.67141091	131.199939	2.1867
62		100	0.23538725	0.2642287	0.5077077	0.67348293	133.315284	2.1855
63		100	0.23317611	0.26182285	0.50729062	0.67311587	135.747902	2.1895
64		100	0.23140082	0.25944495	0.50684307	0.67272177	137.900112	2.1889
65		100	0.22950858	0.25749341	0.50748243	0.67328471	140.147594	2.1898
66		100	0.2275877	0.2553353	0.51180277	0.67707611	142.241085	2.1883
67		100	0.22608903	0.25341368	0.51891081	0.68326699	144.610124	2.1911
68		100	0.22404961	0.25148103	0.52452762	0.68811822	146.982936	2.1938
69		100	0.22213885	0.24957231	0.52572208	0.68914528	149.192967	2.194
70		100	0.22028174	0.24772853	0.52273453	0.68657342	151.559225	2.1965
71		100	0.21898292	0.24592617	0.51738653	0.68194428	154.203166	2.2029
72		100	0.21689551	0.24413833	0.50963528	0.6751767	156.581262	2.2054
73		100	0.21567549	0.24259588	0.50126956	0.66779421	158.820049	2.2058
74		100	0.21385042	0.24111834	0.49688063	0.66388812	161.305803	2.2097
75		100	0.21235956	0.23968633	0.50105971	0.66760797	163.59564	2.2108
76		100	0.21056435	0.23796588	0.50673718	0.67262849	166.045896	2.2139
77		100	0.2090382	0.23621354	0.50851044	0.67418883	168.393047	2.2157
78		100	0.20739526	0.23441523	0.50838246	0.67407634	170.785301	2.218
79		100	0.20609525	0.23284779	0.5058102	0.67181136	173.564009	2.2252
80		100	0.20444205	0.23129077	0.50302387	0.66934914	175.962039	2.2274
